date,account,return,total_turnover,turnover,total_cost,cost,value,cash,bench
2025-09-10,122779513.32561179,0.003942750637902779,1969574763.0135717,0.21306420553096386,1920876.0147983097,0.00021299633563007646,122097885.77093077,681627.5546810203,0.0012946129
2025-09-11,124346850.60987197,0.012977302139766127,1995570962.50381,0.21173075854516674,1946885.5715380316,0.00021183954908458107,123664518.11296262,682332.4969093488,0.016548872
2025-09-12,124758811.07442787,0.003531097231482451,2022662393.0314004,0.21786985673314438,1974005.926914208,0.00021810247097664277,124045749.23572278,713061.8387050992,-0.0012156963
2025-09-15,124562694.12473042,-0.0013581133823893376,2049335596.7231004,0.2137981555129396,2000686.2657204943,0.00021385534678083315,123862042.39565852,700651.7290719016,-0.0026078224
2025-09-16,125026935.55342868,0.0039373096413265665,2074138030.1667376,0.1991160645481969,2026886.7335491509,0.00021033960458835934,121556415.52214664,3470520.031282034,0.00035250187
2025-09-17,125507216.1474624,0.004044403101868181,2099562414.7901654,0.2033512579580348,2052265.4654847928,0.000202986115138339,122153380.22368802,3353835.9237743705,0.003748417
2025-09-18,125372963.4729378,-0.0008233718485667198,2131685760.3936853,0.25594819636328464,2083179.0314415842,0.0002463090721450635,124469600.40857732,903363.0643604873,-0.011527598
2025-09-19,125987745.57299967,0.005114228759067392,2156760828.889587,0.20000379508708133,2109582.9467825247,0.00021060294508105684,122453092.73390307,3534652.8390966034,-0.003018856
2025-09-22,126273171.24427639,0.002456637072995476,2179635991.554406,0.1815665687228679,2133663.442023559,0.0001911336307472985,120351933.74798922,5921237.496287163,0.0022217035
2025-09-23,126044365.65496548,-0.0015952456573212878,2208189481.2381616,0.2261247532028673,2161032.303270854,0.00021674327949164896,122519753.89284547,3524611.762120002,-0.0017611384
2025-09-24,127636841.70121448,0.012810493639775445,2227999085.553706,0.1571637431995296,2183246.8015743177,0.00017624348528417184,119324656.46155927,8312185.239655207,0.008322835
2025-09-25,127371775.75013566,-0.0018529569574164935,2258895362.3584156,0.24206394010464968,2211807.178800202,0.00022376280112556624,123759950.04535855,3611825.704777107,-8.8214874e-05
2025-09-26,127625060.73235759,0.0021698076427417324,2279473913.3438444,0.16156288050657008,2234894.449070501,0.0001812589181106284,119018883.72810952,8606177.00424807,-0.0065387487
2025-09-29,128173227.27493544,0.004519531385275696,2311878598.489898,0.2539053455497242,2263533.3740202603,0.00022439891339066877,127127209.58822767,1046017.6867077579,0.00899303
2025-09-30,129475675.35439157,0.010349403226370464,2336134209.447838,0.18924085375419789,2287601.7064576563,0.00018777971772348956,128828283.04120664,647392.3131849244,0.005241394
2025-10-09,128105470.68841074,-0.01037094882659102,2363497177.9854403,0.21133675080439981,2315020.76904978,0.00021176999090426936,127373309.32877591,732161.3596348334,0.013185024
2025-10-10,128088109.92139782,5.369226803649436e-05,2387770174.2922654,0.18947665682337683,2339259.8093318474,0.00018921159378918078,127448099.65155973,640010.2698380928,-0.00939095
2025-10-13,128244027.98187622,0.0014391424613646167,2416125404.694995,0.22137285357813383,2367678.7866372652,0.00022187053367293333,127504942.88396914,739085.0979070789,-0.0019312501
2025-10-14,127855229.8563372,-0.0028215067002898297,2443085562.9258366,0.2102254479612237,2394635.527953265,0.00021019880410968634,127149935.32942943,705294.5269077676,-0.006240666
2025-10-15,127970593.17689312,0.001111949334013295,2469879887.9365153,0.20956768871156736,2421440.745086225,0.00020965287976940612,127270319.62255321,700273.5543398969,0.012154698
2025-10-16,127180569.95928572,-0.005972459965941645,2495604936.4225626,0.20102312451179827,2447164.71812682,0.00020101472066349336,126508171.26888983,672398.6903958898,0.001026988
2025-10-17,125046160.7909303,-0.016570161960521784,2522582291.548745,0.21211852671220777,2474171.2440254046,0.00021234789171986116,124342427.08162823,703733.709302071,-0.019527137
2025-10-20,125642315.76969564,0.005061538653684569,2559212472.461304,0.29293327104862105,2510942.2415982154,0.0002940593884708685,124693719.73746404,948596.0322316047,0.0062863827
2025-10-21,126906756.65569183,0.010294082071700421,2588222387.2788267,0.23089286949070695,2539873.6658137697,0.0002302681547878027,126144073.2516155,762683.4040763425,0.01357162
2025-10-22,127303717.1653526,0.0033517380070898794,2616615766.609866,0.22373418153040453,2568271.355792393,0.00022376814857595406,126560810.1560885,742907.009264099,-0.0006573796
2025-10-23,127978484.25563781,0.005501983743352455,2642294504.602302,0.20171239743991343,2593927.24781929,0.00020153293712211922,127306925.06947823,671559.186159587,0.0022107363
2025-10-24,127093543.09323329,-0.0067094817242518345,2668544505.5192513,0.20511260990179203,2620199.1090131593,0.00020528342202733905,126404535.21442828,689007.878805018,0.0071134567
2025-10-27,127656915.98385772,0.004667935354704968,2698373264.5786014,0.23469924854851384,2650090.6615483486,0.00023519332145191256,126872212.70590861,784703.2779491129,0.011804938
2025-10-28,129696764.51592912,0.016196258369372135,2726103656.3814363,0.21722592614051173,2677806.523388743,0.00021711210573110672,128968837.02470148,727927.4912276422,-0.0021818876
2025-10-29,128857943.946929,-0.006210832118515319,2759314877.20983,0.25606822924495176,2711102.2616658174,0.00025671988350168206,127994277.29661734,863666.650311653,0.007047415
