symbol,sina_symbol,code,exchange,name,board
600477.SH,sh600477,600477,SH,杭萧钢构,沪市主板
600478.SH,sh600478,600478,SH,科力远,沪市主板
600479.SH,sh600479,600479,SH,千金药业,沪市主板
600480.SH,sh600480,600480,SH,凌云股份,沪市主板
600481.SH,sh600481,600481,SH,双良节能,沪市主板
600482.SH,sh600482,600482,SH,中国动力,沪市主板
600483.SH,sh600483,600483,SH,福能股份,沪市主板
600486.SH,sh600486,600486,SH,扬农化工,沪市主板
600487.SH,sh600487,600487,SH,亨通光电,沪市主板
600488.SH,sh600488,600488,SH,津药药业,沪市主板
600489.SH,sh600489,600489,SH,中金黄金,沪市主板
600490.SH,sh600490,600490,SH,鹏欣资源,沪市主板
600491.SH,sh600491,600491,SH,ST龙元,沪市主板
600493.SH,sh600493,600493,SH,凤竹纺织,沪市主板
600495.SH,sh600495,600495,SH,晋西车轴,沪市主板
600496.SH,sh600496,600496,SH,精工钢构,沪市主板
600497.SH,sh600497,600497,SH,驰宏锌锗,沪市主板
600498.SH,sh600498,600498,SH,烽火通信,沪市主板
600499.SH,sh600499,600499,SH,科达制造,沪市主板
600500.SH,sh600500,600500,SH,中化国际,沪市主板
600501.SH,sh600501,600501,SH,航天晨光,沪市主板
600502.SH,sh600502,600502,SH,安徽建工,沪市主板
600503.SH,sh600503,600503,SH,华丽家族,沪市主板
600505.SH,sh600505,600505,SH,西昌电力,沪市主板
600506.SH,sh600506,600506,SH,统一股份,沪市主板
600507.SH,sh600507,600507,SH,方大特钢,沪市主板
600508.SH,sh600508,600508,SH,上海能源,沪市主板
600509.SH,sh600509,600509,SH,天富能源,沪市主板
600510.SH,sh600510,600510,SH,黑牡丹,沪市主板
600511.SH,sh600511,600511,SH,国药股份,沪市主板
600512.SH,sh600512,600512,SH,腾达建设,沪市主板
600513.SH,sh600513,600513,SH,联环药业,沪市主板
600515.SH,sh600515,600515,SH,海南机场,沪市主板
600516.SH,sh600516,600516,SH,XD方大炭,沪市主板
600517.SH,sh600517,600517,SH,国网英大,沪市主板
600518.SH,sh600518,600518,SH,康美药业,沪市主板
600519.SH,sh600519,600519,SH,XD贵州茅,沪市主板
600520.SH,sh600520,600520,SH,三佳科技,沪市主板
600521.SH,sh600521,600521,SH,华海药业,沪市主板
600522.SH,sh600522,600522,SH,中天科技,沪市主板
600523.SH,sh600523,600523,SH,贵航股份,沪市主板
600525.SH,sh600525,600525,SH,ST长园,沪市主板
600526.SH,sh600526,600526,SH,菲达环保,沪市主板
600527.SH,sh600527,600527,SH,江南高纤,沪市主板
600528.SH,sh600528,600528,SH,中铁工业,沪市主板
600529.SH,sh600529,600529,SH,山东药玻,沪市主板
600530.SH,sh600530,600530,SH,交大昂立,沪市主板
600531.SH,sh600531,600531,SH,豫光金铅,沪市主板
600533.SH,sh600533,600533,SH,栖霞建设,沪市主板
600535.SH,sh600535,600535,SH,天士力,沪市主板
600536.SH,sh600536,600536,SH,中国软件,沪市主板
600537.SH,sh600537,600537,SH,*ST亿晶,沪市主板
600538.SH,sh600538,600538,SH,国发股份,沪市主板
600539.SH,sh600539,600539,SH,狮头股份,沪市主板
600540.SH,sh600540,600540,SH,新赛股份,沪市主板
600543.SH,sh600543,600543,SH,*ST莫高,沪市主板
600545.SH,sh600545,600545,SH,卓郎智能,沪市主板
600546.SH,sh600546,600546,SH,山煤国际,沪市主板
600547.SH,sh600547,600547,SH,山东黄金,沪市主板
